tokenizer,sample_group,token_id,clean_token,auto_label,manual_label,reason,unit_count,comment
custom_chinese_origin_64k,SV,42018,公园站,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,52257,诺贝尔文学奖,SV,SV,CEDICT hit,6,
custom_chinese_origin_64k,SV,59352,坯,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,44424,咸丰,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,15580,篇文章,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,2444,扬,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,26414,商业中心,SV,SV,CEDICT hit,4,
custom_chinese_origin_64k,SV,42399,穿戴,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,28410,散热,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,10571,楠,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,31376,据报,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,2345,贡,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,60662,1572年,SV,SV,complete numeric/time expression,5,
custom_chinese_origin_64k,SV,7255,赛车,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,1769,特别,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,13966,孙权,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,1173,恩,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,6149,老师,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,6073,吸收,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,44344,满意度,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,19785,订阅,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,1180,极,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,30225,引领,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,9963,安打,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,23849,钼,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,28908,醒来,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,19574,歌声,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,16259,最先,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,20639,到期,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,18952,文化部,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,40180,公文,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,27036,死亡率,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,45749,内湖,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,3805,一同,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,5693,这里,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,13815,奉天,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,19917,营销,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,15054,不易,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,48004,不二,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,11726,排序,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,27544,另行,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,28108,兵工厂,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,42019,激化,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,53504,剪接,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,49317,操作员,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,49316,舒服,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,58304,蜜月,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,25004,新店,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,28349,里加,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,5487,耐,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,30957,卅,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,52226,溃散,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,24832,均衡,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,8211,11年,SV,SV,complete numeric/time expression,3,
custom_chinese_origin_64k,SV,35162,排版,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,18188,蕨,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,49544,军工,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,2753,粉,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,14325,舵,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,5545,盆,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,48049,机师,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,WV,32524,当时有,WV,WV,known unit plus predicate/function suffix,3,
custom_chinese_origin_64k,WV,11851,王国的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,21541,至2023年,WV,WV,decomposable into known Chinese units,6,
custom_chinese_origin_64k,WV,25137,成为当时,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,7443,于2007年,WV,WV,function/predicate prefix plus known unit,6,
custom_chinese_origin_64k,WV,39649,车站位于,WV,WV,known unit plus predicate/function suffix,4,
custom_chinese_origin_64k,WV,50903,墓前,WV,WV,content unit plus locative/range suffix,2,
custom_chinese_origin_64k,WV,21889,乘车人次,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,58180,37平方公里,WV,WV,decomposable into known Chinese units,6,
custom_chinese_origin_64k,WV,4520,陆地面积为,WV,WV,known unit plus predicate/function suffix,5,
custom_chinese_origin_64k,WV,54744,一定程度的,WV,WV,decomposable into known Chinese units,5,
custom_chinese_origin_64k,WV,62425,俄亥俄州立大学,WV,WV,decomposable into known Chinese units,7,
custom_chinese_origin_64k,WV,41445,1日平均上车人次,WV,WV,decomposable into known Chinese units,8,
custom_chinese_origin_64k,WV,21012,占了,WV,WV,content unit plus grammatical particle,2,
custom_chinese_origin_64k,WV,19707,负责管理,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,35624,作为目标,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,46425,在其著作,WV,WV,function/predicate prefix plus known unit,4,
custom_chinese_origin_64k,WV,36976,的创始人,WV,WV,function/predicate prefix plus known unit,4,
custom_chinese_origin_64k,WV,16139,纳的,WV,WV,content unit plus grammatical particle,2,
custom_chinese_origin_64k,WV,37985,在1977年,WV,WV,function/predicate prefix plus known unit,6,
custom_chinese_origin_64k,WV,61992,台湾由,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,45997,事实上的,WV,WV,content unit plus grammatical particle,4,
custom_chinese_origin_64k,WV,58647,两场比赛,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,9596,古老的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,53043,是其中,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,24432,网站的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,20708,可做为,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,50448,暂停营业,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,29935,他们也,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,48502,区间的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,12975,技术的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,9704,和中,WV,WV,content unit plus locative/range suffix,2,
custom_chinese_origin_64k,WV,43559,制片公司,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,63249,有所下降,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,63191,国防大学,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,14728,亿港元,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,32417,完美的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,15200,5月10日,WV,WV,decomposable into known Chinese units,5,
custom_chinese_origin_64k,WV,18094,为前,WV,WV,content unit plus locative/range suffix,2,
custom_chinese_origin_64k,WV,45679,为保护,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,51748,的分子,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,53327,举行婚礼,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,58802,发展中心,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,55737,城区的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,57019,以符合,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,41353,共同组成,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,63464,剥夺政治权利终身,WV,WV,decomposable into known Chinese units,8,
custom_chinese_origin_64k,WV,25960,票房收入,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,38295,生长于海拔3,WV,WV,decomposable into known Chinese units,6,
custom_chinese_origin_64k,WV,49491,的发射,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,53857,育有两,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,61491,荆州刺史,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,63575,在日常,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,19100,并进行,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,41066,本科专业,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,61795,被怀疑,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,54691,参赛名额,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,56163,先头位置,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,20569,的物种,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,52275,奇幻小说,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,25688,文化资产,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,56281,和2014年,WV,WV,function/predicate prefix plus known unit,6,
custom_chinese_origin_64k,WV,33601,感染的,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,39519,的操作,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,43515,拒绝承认,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,16411,3月17日,WV,WV,decomposable into known Chinese units,5,
custom_chinese_origin_64k,WV,17856,栖息在底层水域,WV,WV,decomposable into known Chinese units,7,
custom_chinese_origin_64k,WV,57733,在周,WV,WV,function/predicate prefix plus known unit,2,
custom_chinese_origin_64k,WV,20220,防空系统,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,46745,深得,WV,WV,content unit plus grammatical particle,2,
custom_chinese_origin_64k,WV,63570,在发现,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,17366,的颜色,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,61197,同时与,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,43922,殖民时期,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,44036,的重点,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,50026,的结束,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,17767,7月25日,WV,WV,decomposable into known Chinese units,5,
custom_chinese_origin_64k,WV,53515,后方位置,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,59133,独裁统治,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,42467,遭遇了,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,31958,宣布为,WV,WV,known unit plus predicate/function suffix,3,
custom_chinese_origin_64k,WV,53549,否决了,WV,WV,content unit plus grammatical particle,3,
custom_chinese_origin_64k,WV,42725,德国空军,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,50075,并于2014年,WV,WV,decomposable into known Chinese units,7,
custom_chinese_origin_64k,WV,51154,的民主,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,57819,至凌晨,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,18486,5月11日,WV,WV,decomposable into known Chinese units,5,
custom_chinese_origin_64k,WV,44643,非常接近,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,11705,但被,WV,WV,decomposable into known Chinese units,2,
custom_chinese_origin_64k,WV,5664,升为,WV,WV,known unit plus predicate/function suffix,2,
custom_chinese_origin_64k,WV,25268,公布时间为,WV,WV,known unit plus predicate/function suffix,5,
custom_chinese_origin_64k,WV,61609,生理学或,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,55036,这为,WV,WV,known unit plus predicate/function suffix,2,
custom_chinese_origin_64k,WV,58198,32平方公里,WV,WV,decomposable into known Chinese units,6,
custom_chinese_origin_64k,WV,22873,至2020年,WV,WV,decomposable into known Chinese units,6,
custom_chinese_origin_64k,WV,9551,的要求,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,WV,59579,计划委员会,WV,WV,decomposable into known Chinese units,5,
custom_chinese_origin_64k,WV,46249,开始进入,WV,WV,decomposable into known Chinese units,4,
custom_chinese_origin_64k,WV,33303,美国在,WV,WV,decomposable into known Chinese units,3,
custom_chinese_origin_64k,WV,24474,及国际,WV,WV,function/predicate prefix plus known unit,3,
custom_chinese_origin_64k,IV,38974,化与,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,50850,末脚,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,41104,布良斯克,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,57595,瓦兹河谷,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,30710,雷丁,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,45238,大改正,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,62518,庆应义塾,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,61568,相容性,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,34639,建城,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,42766,也有部分,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,12567,波利,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,8763,表现出,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,12249,斯特拉,IV,IV,proper substring of a longer dictionary word,3,
custom_chinese_origin_64k,IV,40569,务大臣,IV,IV,proper substring of a longer dictionary word,3,
custom_chinese_origin_64k,IV,18960,散骑,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,47185,17米,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,3541,哈尔,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,56802,仍在继续,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,21487,韦斯特,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,30368,石敬,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,7092,印第,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,6584,这场,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,11419,他的父亲,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,35650,吴佩,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,59533,致胜,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,43594,天启元年,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,27603,该属共有,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,60312,京阪,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,4573,埃尔,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,32653,共建,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,41569,性偏离,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,19383,也让,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,29975,去世时,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,24147,等地的,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,43839,油尖,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,50676,所派出的,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,43493,扎西,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,21116,她对,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,26874,莱曼,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,56894,史提芬,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,10179,比2,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,29705,他发现,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,16494,句丽,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,19226,都由,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,42774,攻击性,IV,IV,proper substring of a longer dictionary word,3,
custom_chinese_origin_64k,IV,46722,均来自,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,29128,多拉,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,38804,指挥所,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,29808,浦县,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,62298,拉丁裔,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,45415,底把,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,37283,最强的,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,62799,布阵,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,22730,田区,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,44157,纳在,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,47233,杜拉,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,63404,启德邮轮码头,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",6,
custom_chinese_origin_64k,IV,13576,泰罗,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,53314,望厦,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,46214,格里斯,IV,IV,proper substring of a longer dictionary word,3,
custom_chinese_origin_64k,IV,54478,例确诊病例,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",5,
custom_chinese_origin_64k,IV,43027,派发,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,45682,一见,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,18395,臀鳍软条,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,15676,之久,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,7248,立陶,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,43913,500米的地区,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",7,
custom_chinese_origin_64k,IV,28660,台吉,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,55291,也有不少,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,51986,塞班,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,16815,翡翠台,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,33736,总科,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,49860,氢离子,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,33506,议大夫,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,46591,并经,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,36791,达特,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,58056,赫歇尔,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,49251,肯雅,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,48241,扎比,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,11638,有很多,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,50998,120米,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,8927,而该地的平均海拔高度为,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",11,
custom_chinese_origin_64k,IV,52509,达鲁,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,58375,孔泰大区索恩,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",6,
custom_chinese_origin_64k,IV,54834,最具代表性的,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",6,
custom_chinese_origin_64k,IV,60681,挤塞,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,49775,22岁,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,62144,适居,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,25403,塞奥多利,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",4,
custom_chinese_origin_64k,IV,45310,米杜,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,17880,美少女,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,53268,我军,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,50071,之嫌,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,13214,外围赛,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",3,
custom_chinese_origin_64k,IV,9119,语和,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
custom_chinese_origin_64k,IV,31267,厄斯,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,25705,佐夫,IV,IV,proper substring of a longer dictionary word,2,
custom_chinese_origin_64k,IV,30382,早稻田,IV,IV,proper substring of a longer dictionary word,3,
custom_chinese_origin_64k,IV,39546,与B,IV,IV,mixed Latin+CJK token,2,
custom_chinese_origin_64k,IV,44986,票对,IV,IV,"not a dictionary unit, licensed phrase, or known morpheme",2,
