N,pair_index_within_N,c_token,source_token_count_for_pair,a_tokens_json
2,41,bao2,2,"[""薄"", ""雹""]"
2,42,bao3an1,2,"[""保安"", ""宝安""]"
2,43,bao3biao1,2,"[""保镖"", ""保镳""]"
2,44,bao3li4,2,"[""保利"", ""宝丽""]"
2,45,bao3shi2,2,"[""保时"", ""宝石""]"
2,46,bao4bo2,2,"[""鲍伯"", ""鲍勃""]"
2,47,bao4chou2,2,"[""报仇"", ""报酬""]"
2,48,bao4dao4,2,"[""报到"", ""报道""]"
2,49,bao4fa1,2,"[""暴发"", ""爆发""]"
2,50,bao4fu4,2,"[""报复"", ""抱负""]"
2,51,bei3jie1,2,"[""北接"", ""北街""]"
2,52,bei3ka3luo2lai2na4zhou1,2,"[""北卡罗来纳州"", ""北卡罗莱纳州""]"
2,53,bei3lin2,2,"[""北临"", ""北邻""]"
2,54,bei3lu4,2,"[""北路"", ""北陆""]"
2,55,bei3shi4,2,"[""北势"", ""北市""]"
2,56,bei4pan4,2,"[""背叛"", ""被判""]"
2,57,bei4qi2,2,"[""背鳍"", ""被其""]"
2,58,bei4si1,2,"[""贝丝"", ""贝斯""]"
2,59,ben1,2,"[""奔"", ""贲""]"
2,60,ben3,2,"[""本"", ""苯""]"
2,61,ben3ji2,2,"[""本级"", ""本集""]"
2,62,ben3ji4,2,"[""本季"", ""本纪""]"
2,63,ben3shi4,2,"[""本市"", ""本是""]"
2,64,ben3wei4,2,"[""本为"", ""本位""]"
2,65,ben3xian4,2,"[""本县"", ""本线""]"
2,66,ben3xing4,2,"[""本姓"", ""本性""]"
2,67,beng1,2,"[""崩"", ""绷""]"
2,68,beng4,2,"[""泵"", ""蹦""]"
2,69,bi3ji4,2,"[""笔记"", ""笔迹""]"
2,70,bi3li4,2,"[""比例"", ""比利""]"
2,71,bi3te4,2,"[""彼特"", ""比特""]"
2,72,bi4xu1,2,"[""必需"", ""必须""]"
2,73,bian1cheng2,2,"[""编成"", ""编程""]"
2,74,bian1qu1,2,"[""编曲"", ""边区""]"
2,75,bian1wei4,2,"[""编为"", ""边为""]"
2,76,bian1xing2,2,"[""边形"", ""鞭刑""]"
2,77,bian4jie2,2,"[""便捷"", ""变节""]"
2,78,bian4shi4,2,"[""便士"", ""便是""]"
2,79,bian4xiang4,2,"[""便向"", ""变相""]"
2,80,bian4yi3,2,"[""便以"", ""便已""]"
2,81,bing1,2,"[""兵"", ""冰""]"
2,82,bing1yuan2,2,"[""兵员"", ""冰原""]"
2,83,bing4,2,"[""并"", ""病""]"
2,84,bing4wei4,2,"[""并为"", ""并未""]"
2,85,bing4yi3,2,"[""并以"", ""并已""]"
2,86,bing4yin1,2,"[""并因"", ""病因""]"
2,87,bing4zhong4,2,"[""并重"", ""病重""]"
2,88,bo,2,"[""bo"", ""卜""]"
2,89,bo1chu1,2,"[""拨出"", ""播出""]"
2,90,bo1er3,2,"[""波尔"", ""玻尔""]"
2,91,bo1li2,2,"[""剥离"", ""玻璃""]"
2,92,bo1li4,2,"[""波利"", ""玻利""]"
2,93,bo1xi1,2,"[""波希"", ""波西""]"
2,94,bo1xi1mi3ya4,2,"[""波希米亚"", ""波西米亚""]"
2,95,bo1yin1,2,"[""播音"", ""波音""]"
2,96,bo2de2,2,"[""伯德"", ""博德""]"
2,97,bo2er3,2,"[""伯尔"", ""博尔""]"
2,98,bo2ge2,2,"[""伯格"", ""博格""]"
2,99,bo2la1,2,"[""勃拉"", ""博拉""]"
2,100,bo2luo2,2,"[""勃罗"", ""博罗""]"
2,101,bo2si1,2,"[""伯斯"", ""博斯""]"
2,102,bo2te4,2,"[""伯特"", ""博特""]"
2,103,bu2hui4zai4,2,"[""不会再"", ""不会在""]"
2,104,bu3shi2,2,"[""捕食"", ""补时""]"
2,105,bu4bian4,2,"[""不便"", ""不变""]"
2,106,bu4dan1,2,"[""不丹"", ""不单""]"
2,107,bu4dao4,2,"[""布道"", ""步道""]"
2,108,bu4fen4,2,"[""部份"", ""部分""]"
2,109,bu4fu2,2,"[""不服"", ""不符""]"
2,110,bu4jia1,2,"[""不佳"", ""不加""]"
2,111,bu4jun1,2,"[""不均"", ""步军""]"
2,112,bu4lai2,2,"[""不来"", ""布莱""]"
2,113,bu4li3,2,"[""不理"", ""布里""]"
2,114,bu4liang2,2,"[""不良"", ""布良""]"
2,115,bu4liao4,2,"[""不料"", ""布料""]"
2,116,bu4lun2,2,"[""不伦"", ""布伦""]"
2,117,bu4luo4,2,"[""布洛"", ""部落""]"
2,118,bu4man3,2,"[""不满"", ""布满""]"
2,119,bu4neng2zai4,2,"[""不能再"", ""不能在""]"
2,120,bu4qu1,2,"[""不屈"", ""部曲""]"
2,121,bu4ru4,2,"[""不入"", ""步入""]"
2,122,bu4she4,2,"[""不设"", ""布设""]"
2,123,bu4shen4,2,"[""不慎"", ""不甚""]"
2,124,bu4shi2,2,"[""不实"", ""不时""]"
2,125,bu4shu3,2,"[""部属"", ""部署""]"
2,126,bu4xia4,2,"[""不下"", ""部下""]"
2,127,bu4xing2,2,"[""不行"", ""步行""]"
2,128,bu4yi1,2,"[""不一"", ""布依""]"
2,129,bu4yi3,2,"[""不以"", ""不已""]"
2,130,bu4zhang3,2,"[""不长"", ""部长""]"
2,131,bu4zhen4,2,"[""不振"", ""布阵""]"
2,132,bu4zhi3,2,"[""不只"", ""不止""]"
2,133,bu4zhi4,2,"[""不治"", ""布置""]"
2,134,bu4zu2,2,"[""不足"", ""部族""]"
2,135,bu4zuo4,2,"[""不作"", ""不做""]"
2,136,cai2wu4,2,"[""财务"", ""财物""]"
2,137,cai4,2,"[""菜"", ""蔡""]"
2,138,can1,2,"[""参"", ""餐""]"
2,139,cao1,2,"[""操"", ""糙""]"
2,140,ceng2,2,"[""层"", ""曾""]"
2,141,ceng2wei4,2,"[""层为"", ""曾为""]"
2,142,ceng2yin1,2,"[""曾因"", ""曾荫""]"
2,143,cha1,2,"[""叉"", ""插""]"
2,144,cha4,2,"[""岔"", ""差""]"
2,145,chai2,2,"[""侪"", ""柴""]"
2,146,chan4,2,"[""忏"", ""颤""]"
2,147,chang2bei4,2,"[""常备"", ""常被""]"
2,148,chang2nian2,2,"[""常年"", ""长年""]"
2,149,chang2shi2,2,"[""常识"", ""长石""]"
2,150,chang2shi4,2,"[""尝试"", ""常侍""]"
2,151,chang2zhu4,2,"[""常住"", ""常驻""]"
2,152,chang3de,2,"[""厂的"", ""场的""]"
2,153,chang3he2,2,"[""场合"", ""场和""]"
2,154,chao3,2,"[""吵"", ""炒""]"
2,155,che4xiao1,2,"[""撤消"", ""撤销""]"
2,156,chen1,2,"[""琛"", ""郴""]"
2,157,chen2jia1,2,"[""陈嘉"", ""陈家""]"
2,158,chen2mo4,2,"[""沉没"", ""沉默""]"
2,159,chen2shi4,2,"[""陈世"", ""陈氏""]"
2,160,chen2xiao3,2,"[""陈小"", ""陈晓""]"
2,161,chen2yi4,2,"[""陈奕"", ""陈毅""]"
2,162,chen4,2,"[""衬"", ""趁""]"
2,163,cheng1,2,"[""撑"", ""称""]"
2,164,cheng1zuo4,2,"[""称作"", ""称做""]"
2,165,cheng2de,2,"[""城的"", ""成的""]"
2,166,cheng2fen4,2,"[""成份"", ""成分""]"
2,167,cheng2ji1,2,"[""乘机"", ""乘积""]"
2,168,cheng2jiao1,2,"[""城郊"", ""成交""]"
2,169,cheng2ren2,2,"[""城人"", ""成人""]"
2,170,cheng2shi4,2,"[""城市"", ""程式""]"
2,171,cheng2xian4,2,"[""呈现"", ""城县""]"
2,172,cheng2xiang4,2,"[""丞相"", ""成像""]"
2,173,cheng2xing2,2,"[""成型"", ""成形""]"
2,174,cheng2zhi4,2,"[""惩治"", ""承志""]"
2,175,chi1,2,"[""吃"", ""痴""]"
2,176,chong1ji1,2,"[""冲击"", ""冲积""]"
2,177,chong2,2,"[""崇"", ""虫""]"
2,178,chu1,2,"[""出"", ""初""]"
2,179,chu1ban3,2,"[""出版"", ""初版""]"
2,180,chu1chang3,2,"[""出厂"", ""出场""]"
2,181,chu1de,2,"[""出的"", ""初的""]"
2,182,chu1jing4,2,"[""出境"", ""出镜""]"
2,183,chu1ming2,2,"[""出名"", ""初名""]"
2,184,chu1ren4,2,"[""出任"", ""初任""]"
2,185,chu1shi3,2,"[""出使"", ""初始""]"
2,186,chu1shou4,2,"[""出售"", ""初授""]"
2,187,chu1wei4,2,"[""出为"", ""初为""]"
2,188,chu1xian4,2,"[""出现"", ""出线""]"
2,189,chu1xuan3,2,"[""出选"", ""初选""]"
2,190,chu1yi1,2,"[""出一"", ""初一""]"
2,191,chu1zhan4,2,"[""出战"", ""出站""]"
2,192,chu1zhong1,2,"[""初中"", ""初衷""]"
2,193,chu3yu2,2,"[""处于"", ""楚瑜""]"
2,194,chu4ji2,2,"[""处级"", ""触及""]"
2,195,chuan1shang4,2,"[""川上"", ""穿上""]"
2,196,chuan2dao4,2,"[""传到"", ""传道""]"
2,197,chuan4,2,"[""串"", ""钏""]"
2,198,chuan4lian2,2,"[""串联"", ""串连""]"
2,199,chuang1,2,"[""疮"", ""窗""]"
2,200,chuang2,2,"[""幢"", ""床""]"
2,201,chui1,2,"[""吹"", ""炊""]"
2,202,chun1,2,"[""春"", ""椿""]"
2,203,chuo4,2,"[""绰"", ""辍""]"
2,204,ci2dian3,2,"[""词典"", ""辞典""]"
2,205,ci2hui4,2,"[""词汇"", ""辞汇""]"
2,206,ci2xing4,2,"[""磁性"", ""雌性""]"
2,207,ci3qu1,2,"[""此区"", ""此曲""]"
2,208,ci3zhan4,2,"[""此战"", ""此站""]"
2,209,ci4ke4,2,"[""刺客"", ""次克""]"
2,210,ci4ming2,2,"[""次名"", ""赐名""]"
2,211,cuan4,2,"[""窜"", ""篡""]"
2,212,cun1,2,"[""村"", ""邨""]"
2,213,cun4,2,"[""吋"", ""寸""]"
2,214,cuo1,2,"[""撮"", ""磋""]"
2,215,cuo4shi1,2,"[""措施"", ""错失""]"
2,216,da2da2,2,"[""达达"", ""鞑靼""]"
2,217,da2he2,2,"[""达和"", ""达荷""]"
2,218,da3bi3,2,"[""打吡"", ""打比""]"
2,219,da4ban3,2,"[""大坂"", ""大阪""]"
2,220,da4bu4,2,"[""大埔"", ""大部""]"
2,221,da4bu4fen4,2,"[""大部份"", ""大部分""]"
2,222,da4bu4fen4de,2,"[""大部份的"", ""大部分的""]"
2,223,da4chen2,2,"[""大臣"", ""大陈""]"
2,224,da4di4,2,"[""大地"", ""大帝""]"
2,225,da4fu2,2,"[""大佛"", ""大幅""]"
2,226,da4gong1,2,"[""大公"", ""大宫""]"
2,227,da4guan1,2,"[""大关"", ""大观""]"
2,228,da4han2,2,"[""大汗"", ""大韩""]"
2,229,da4he2,2,"[""大和"", ""大河""]"
2,230,da4jia1,2,"[""大加"", ""大家""]"
2,231,da4jiang1,2,"[""大江"", ""大疆""]"
2,232,da4jun1,2,"[""大军"", ""大君""]"
2,233,da4li3,2,"[""大理"", ""大里""]"
2,234,da4lu4,2,"[""大路"", ""大陆""]"
2,235,da4ming2,2,"[""大名"", ""大明""]"
2,236,da4quan2,2,"[""大全"", ""大权""]"
2,237,da4she4,2,"[""大社"", ""大赦""]"
2,238,da4sheng4,2,"[""大圣"", ""大胜""]"
2,239,da4shi2,2,"[""大时"", ""大石""]"
2,240,da4shou4,2,"[""大受"", ""大绶""]"
2,241,da4si4,2,"[""大寺"", ""大肆""]"
2,242,da4tang2,2,"[""大唐"", ""大堂""]"
2,243,da4wei2,2,"[""大围"", ""大维""]"
2,244,da4wei4,2,"[""大为"", ""大卫""]"
2,245,da4xiang4,2,"[""大象"", ""大项""]"
2,246,da4xiao4,2,"[""大校"", ""大笑""]"
2,247,da4xiong2,2,"[""大熊"", ""大雄""]"
2,248,da4yi4,2,"[""大义"", ""大意""]"
2,249,da4you3,2,"[""大友"", ""大有""]"
2,250,da4yu3,2,"[""大宇"", ""大雨""]"
2,251,da4yuan2,2,"[""大元"", ""大员""]"
2,252,dai4de,2,"[""代的"", ""带的""]"
2,253,dai4er3,2,"[""代尔"", ""戴尔""]"
2,254,dai4fu1,2,"[""代夫"", ""戴夫""]"
2,255,dai4ru4,2,"[""代入"", ""带入""]"
2,256,dai4shang4,2,"[""带上"", ""戴上""]"
2,257,dai4wei2,2,"[""代为"", ""戴维""]"
2,258,dai4zhe,2,"[""带着"", ""戴着""]"
2,259,dai4zhu4,2,"[""带著"", ""戴著""]"
2,260,dan1xiang4,2,"[""单向"", ""单项""]"
2,261,dan3,2,"[""掸"", ""胆""]"
2,262,dan4chu1,2,"[""弹出"", ""淡出""]"
2,263,dan4dao4,2,"[""但到"", ""弹道""]"
2,264,dan4hua4,2,"[""氮化"", ""淡化""]"
2,265,dan4ta1men,2,"[""但他们"", ""但它们""]"
2,266,dan4wei4,2,"[""但为"", ""但未""]"
2,267,dan4yao4,2,"[""但要"", ""弹药""]"
2,268,dan4yi3,2,"[""但以"", ""但已""]"
2,269,dang1shi2ta1,2,"[""当时他"", ""当时她""]"
2,270,dang1ta1,2,"[""当他"", ""当她""]"
2,271,dang3,2,"[""党"", ""挡""]"
2,272,dang4zuo4,2,"[""当作"", ""当做""]"
2,273,dao1,2,"[""刀"", ""氘""]"
2,274,dao3shi4,2,"[""岛式"", ""岛是""]"
2,275,dao3yu3,2,"[""岛与"", ""岛屿""]"
2,276,dao4chang3,2,"[""到场"", ""道场""]"
2,277,dao4de,2,"[""到的"", ""道的""]"
2,278,dao4he2,2,"[""稻荷"", ""道和""]"
2,279,dao4nan2,2,"[""到南"", ""道南""]"
2,280,dao4shi4,2,"[""道士"", ""道试""]"
2,281,de,2,"[""de"", ""的""]"
2,282,de2de,2,"[""得的"", ""德的""]"
2,283,de2ke4,2,"[""得克"", ""德克""]"
2,284,de2ke4sa4si1zhou1,2,"[""得克萨斯州"", ""德克萨斯州""]"
2,285,de2la1,2,"[""得拉"", ""德拉""]"
2,286,de2lan2,2,"[""得兰"", ""德兰""]"
2,287,de2li3ya4,2,"[""得里亚"", ""德里亚""]"
2,288,de2li4,2,"[""得利"", ""德利""]"
2,289,de2lin2,2,"[""德林"", ""德琳""]"
2,290,de2ming2,2,"[""得名"", ""德明""]"
2,291,de2sheng4,2,"[""得胜"", ""德胜""]"
2,292,de2wei2,2,"[""德维"", ""德韦""]"
2,293,de2xi1,2,"[""得悉"", ""德西""]"
2,294,de2yi3,2,"[""得以"", ""德乙""]"
2,295,de2yi4,2,"[""得意"", ""得益""]"
2,296,debu4fen4,2,"[""的部份"", ""的部分""]"
2,297,dedi4,2,"[""的地"", ""的第""]"
2,298,dedi4yi1bu4,2,"[""的第一步"", ""的第一部""]"
2,299,dehe2,2,"[""的和"", ""的核""]"
2,300,deji1,2,"[""的基"", ""的机""]"
2,301,deji4lu4,2,"[""的纪录"", ""的记录""]"
2,302,dejia1,2,"[""的加"", ""的家""]"
2,303,denan2,2,"[""的南"", ""的男""]"
2,304,deng1,2,"[""灯"", ""登""]"
2,305,deng1ji1,2,"[""登基"", ""登机""]"
2,306,deng1lu4,2,"[""登录"", ""登陆""]"
2,307,deng3wei4,2,"[""等为"", ""等位""]"
2,308,deng3xiao4,2,"[""等效"", ""等校""]"
2,309,deqian2,2,"[""的前"", ""的钱""]"
2,310,dequan2li4,2,"[""的权利"", ""的权力""]"
2,311,deshen1fen4,2,"[""的身份"", ""的身分""]"
2,312,deshi4,2,"[""的事"", ""的是""]"
2,313,deshou3,2,"[""的手"", ""的首""]"
2,314,dewu2,2,"[""的吴"", ""的无""]"
2,315,dexin1,2,"[""的心"", ""的新""]"
2,316,deyi1,2,"[""的一"", ""的伊""]"
2,317,deyi1bu4fen4,2,"[""的一部份"", ""的一部分""]"
2,318,deyi1fu2,2,"[""的一幅"", ""的衣服""]"
2,319,deyi1ke1,2,"[""的一科"", ""的一颗""]"
2,320,deyi4,2,"[""的义"", ""的异""]"
2,321,deyuan2,2,"[""的原"", ""的圆""]"
2,322,dezi4,2,"[""的字"", ""的自""]"
2,323,di2ao4,2,"[""狄奥"", ""迪奥""]"
2,324,di2ke4,2,"[""狄克"", ""迪克""]"
2,325,di2shi4,2,"[""敌视"", ""迪士""]"
2,326,di3zhi4,2,"[""底质"", ""抵制""]"
2,327,di4de,2,"[""地的"", ""蒂的""]"
2,328,di4ji1,2,"[""地基"", ""帝姬""]"
2,329,di4li3,2,"[""地理"", ""地里""]"
2,330,di4na4,2,"[""地那"", ""蒂娜""]"
2,331,di4qi2,2,"[""第奇"", ""蒂奇""]"
2,332,di4shang4,2,"[""地上"", ""蒂尚""]"
2,333,di4si1,2,"[""第斯"", ""蒂斯""]"
2,334,di4ya4,2,"[""地亚"", ""蒂亚""]"
2,335,di4yi1bu4,2,"[""第一步"", ""第一部""]"
2,336,di4yi1ji2,2,"[""第一级"", ""第一集""]"
2,337,di4yu4,2,"[""地域"", ""地狱""]"
2,338,dian4chang3,2,"[""电厂"", ""电场""]"
2,339,dian4gong1,2,"[""电工"", ""电弓""]"
2,340,dian4nei4,2,"[""店内"", ""殿内""]"
2,341,dian4pu4,2,"[""店舖"", ""店铺""]"
2,342,dian4qi4,2,"[""电器"", ""电气""]"
2,343,dian4shi4,2,"[""殿试"", ""电视""]"
2,344,dian4yuan2,2,"[""店员"", ""电源""]"
2,345,die1,2,"[""爹"", ""跌""]"
2,346,ding3,2,"[""顶"", ""鼎""]"
2,347,ding4wei4,2,"[""定为"", ""定位""]"
2,348,dong1cun1,2,"[""东村"", ""东邨""]"
2,349,dong1ji2,2,"[""东及"", ""东急""]"
2,350,dong1jie1,2,"[""东接"", ""东街""]"
2,351,dong1jin4,2,"[""东晋"", ""东进""]"
2,352,dong1jing1,2,"[""东京"", ""东经""]"
2,353,dong1shi4,2,"[""东势"", ""东市""]"
2,354,dong1xian4,2,"[""东县"", ""东线""]"
2,355,dong1yang2,2,"[""东洋"", ""东阳""]"
2,356,dong1zhi4,2,"[""东至"", ""冬至""]"
2,357,dong3,2,"[""懂"", ""董""]"
2,358,dou1,2,"[""兜"", ""都""]"
2,359,dou1yi3,2,"[""都以"", ""都已""]"
2,360,dou3,2,"[""抖"", ""陡""]"
2,361,du4guo4,2,"[""度过"", ""渡过""]"
2,362,du4he2,2,"[""度和"", ""渡河""]"
2,363,du4xian4,2,"[""度线"", ""渡线""]"
2,364,dui4qi2,2,"[""对其"", ""对齐""]"
2,365,dui4ta1,2,"[""对他"", ""对她""]"
2,366,dui4ta1de,2,"[""对他的"", ""对她的""]"
2,367,dui4xiang4,2,"[""对向"", ""对象""]"
2,368,dui4ying4,2,"[""对应"", ""对映""]"
2,369,duo1fu2,2,"[""多佛"", ""多福""]"
2,370,duo1ming2,2,"[""多名"", ""多明""]"
2,371,duo1wei4,2,"[""多为"", ""多位""]"
2,372,duo1yu2,2,"[""多于"", ""多余""]"
2,373,duo2,2,"[""夺"", ""铎""]"
2,374,e2lei1,2,"[""俄勒"", ""额勒""]"
2,375,e4er3,2,"[""厄尔"", ""鄂尔""]"
2,376,er2,2,"[""儿"", ""而""]"
2,377,er2ta1,2,"[""而他"", ""而她""]"
2,378,er2tong2,2,"[""儿童"", ""而同""]"
2,379,er2wei4,2,"[""而为"", ""而未""]"
2,380,er2yi3,2,"[""而以"", ""而已""]"
2,381,er2yi4,2,"[""而异"", ""而易""]"
2,382,er3man4,2,"[""尔曼"", ""耳曼""]"
2,383,er4,2,"[""二"", ""贰""]"
2,384,er4ji2,2,"[""二极"", ""二级""]"
2,385,er4shi4,2,"[""二世"", ""二是""]"
2,386,er4xian4,2,"[""二县"", ""二线""]"
2,387,fa1dian4,2,"[""发店"", ""发电""]"
2,388,fa1jue2,2,"[""发掘"", ""发觉""]"
2,389,fa1sheng1,2,"[""发声"", ""发生""]"
2,390,fa1yan2,2,"[""发炎"", ""发言""]"
2,391,fa3li3,2,"[""法理"", ""法里""]"
2,392,fa3li4,2,"[""法例"", ""法利""]"
2,393,fa3shi4,2,"[""法式"", ""法是""]"
2,394,fa3yu3,2,"[""法与"", ""法语""]"
2,395,fa3zhi4,2,"[""法制"", ""法治""]"
2,396,fan3,2,"[""反"", ""返""]"
2,397,fan3ying4,2,"[""反应"", ""反映""]"
2,398,fang1wei4,2,"[""方为"", ""方位""]"
2,399,fei1li4pu3,2,"[""菲利普"", ""菲利浦""]"
2,400,fei1yi4,2,"[""非裔"", ""非议""]"
2,401,fei1yue4,2,"[""飞越"", ""飞跃""]"
2,402,fei2,2,"[""肥"", ""腓""]"
2,403,fei4qi4,2,"[""废弃"", ""废气""]"
2,404,fen1bu4,2,"[""分布"", ""分部""]"
2,405,fen1chang3,2,"[""分厂"", ""分场""]"
2,406,fen1guan3,2,"[""分管"", ""分馆""]"
2,407,fen1qi2,2,"[""分歧"", ""芬奇""]"
2,408,fen1she4,2,"[""分社"", ""分设""]"
2,409,fen1shou3,2,"[""分守"", ""分手""]"
2,410,fen1wei2,2,"[""分为"", ""氛围""]"
2,411,feng1hou4,2,"[""丰厚"", ""丰后""]"
2,412,feng1wei4,2,"[""封为"", ""风味""]"
2,413,feng2,2,"[""冯"", ""逢""]"
2,414,feng4xi4,2,"[""奉系"", ""缝隙""]"
2,415,fu2de2,2,"[""佛得"", ""福德""]"
2,416,fu2hua4,2,"[""幅画"", ""氟化""]"
2,417,fu2jian4,2,"[""伏见"", ""福建""]"
2,418,fu2lai2,2,"[""佛莱"", ""弗莱""]"
2,419,fu2lan2,2,"[""佛兰"", ""弗兰""]"
2,420,fu2lang3,2,"[""佛朗"", ""弗朗""]"
2,421,fu2lei2,2,"[""弗雷"", ""福雷""]"
2,422,fu2luo2,2,"[""佛罗"", ""弗罗""]"
2,423,fu2shi4,2,"[""服侍"", ""服饰""]"
2,424,fu2si1,2,"[""弗斯"", ""福斯""]"
2,425,fu2te4,2,"[""伏特"", ""福特""]"
2,426,fu4chu1,2,"[""付出"", ""复出""]"
2,427,fu4jia1,2,"[""富家"", ""附加""]"
2,428,fu4jian4,2,"[""复建"", ""附件""]"
2,429,fu4kan1,2,"[""副刊"", ""复刊""]"
2,430,fu4li4,2,"[""傅立"", ""富力""]"
2,431,fu4mian4,2,"[""腹面"", ""负面""]"
2,432,fu4nv3,2,"[""妇女"", ""父女""]"
2,433,fu4ren2,2,"[""妇人"", ""富人""]"
2,434,fu4shang1,2,"[""富商"", ""负伤""]"
2,435,fu4shi4,2,"[""复式"", ""富士""]"
2,436,fu4wei4,2,"[""复为"", ""复位""]"
2,437,fu4yuan2,2,"[""复原"", ""复员""]"
2,438,fu4zhi4,2,"[""复制"", ""复置""]"
2,439,ga1,2,"[""伽"", ""嘎""]"
2,440,ga1ma3,2,"[""伽玛"", ""伽马""]"
2,441,gai1chang3,2,"[""该厂"", ""该场""]"
2,442,gai1qu1,2,"[""该区"", ""该曲""]"
2,443,gai1xian4,2,"[""该县"", ""该线""]"
2,444,gai1xing2,2,"[""该型"", ""该行""]"
2,445,gai3zhi4,2,"[""改制"", ""改置""]"
2,446,gan3dao4,2,"[""感到"", ""赶到""]"
2,447,gang3,2,"[""岗"", ""港""]"
2,448,gang3qu1,2,"[""岗区"", ""港区""]"
2,449,gao1jia4,2,"[""高价"", ""高架""]"
2,450,gao1xiao4,2,"[""高效"", ""高校""]"
2,451,gao1yang2,2,"[""高扬"", ""高阳""]"
2,452,gao4su4ta1,2,"[""告诉他"", ""告诉她""]"
2,453,ge1er3,2,"[""哥尔"", ""戈尔""]"
2,454,ge1ju4,2,"[""割据"", ""歌剧""]"
2,455,ge1te4,2,"[""哥特"", ""戈特""]"
2,456,ge2la1,2,"[""格拉"", ""葛拉""]"
2,457,ge2lai2,2,"[""格莱"", ""葛莱""]"
2,458,ge2lai2mei3jiang3,2,"[""格莱美奖"", ""葛莱美奖""]"
2,459,ge2lan2,2,"[""格兰"", ""葛兰""]"
2,460,ge2li4,2,"[""格利"", ""格力""]"
2,461,ge4zhan4,2,"[""各占"", ""各站""]"
2,462,gei3ta1,2,"[""给他"", ""给她""]"
2,463,gen1,2,"[""根"", ""跟""]"
2,464,geng3,2,"[""梗"", ""耿""]"
2,465,geng4jia1,2,"[""更佳"", ""更加""]"
2,466,gong1bu4,2,"[""公布"", ""工部""]"
2,467,gong1chang3,2,"[""工厂"", ""工场""]"
2,468,gong1dian4,2,"[""供电"", ""宫殿""]"
2,469,gong1hui4,2,"[""公会"", ""工会""]"
2,470,gong1ke4,2,"[""公克"", ""攻克""]"
2,471,gong1li3,2,"[""公理"", ""公里""]"
2,472,gong1li4,2,"[""公立"", ""功利""]"
2,473,gong1miao4,2,"[""公庙"", ""宫庙""]"
2,474,gong1si1,2,"[""公司"", ""公私""]"
2,475,gong1wu4,2,"[""公务"", ""工务""]"
2,476,gong1xue2,2,"[""公学"", ""工学""]"
2,477,gong1ying4,2,"[""供应"", ""公映""]"
2,478,gong1yuan2,2,"[""公元"", ""公园""]"
2,479,gong1zuo4shi4,2,"[""工作室"", ""工作是""]"
2,480,gong4,2,"[""共"", ""贡""]"
2,481,gong4ji4,2,"[""共济"", ""共计""]"
2,482,gong4sheng1,2,"[""共生"", ""贡生""]"
2,483,gong4shi4,2,"[""共事"", ""贡士""]"
2,484,gong4xian4,2,"[""共线"", ""贡献""]"
2,485,gou3,2,"[""狗"", ""苟""]"
2,486,gou4jian4,2,"[""构件"", ""构建""]"
2,487,gu3dao4,2,"[""古道"", ""股道""]"
